ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
3253175,B77-00031,Morus serrator,,,australasian gannet,dr7452,BT-68-7096,POINT (593020 5288533),148.133,-42.55,593020,5288533,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
3256634,B77-00031,Morus serrator,,,australasian gannet,dr359,,POINT (586578 5281520),148.0556,-42.61389,586578,5281520,100,Maria Island,Unknown Unknown (23130),06-Jan-2012,Day,Not Recorded,,Present,,Accepted,,
3256902,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS127512648,POINT (588755 5282631),148.08197,-42.60364,588755,5282631,-1,Maria Island,David Clapp (35923),06-Oct-2011,Day,Not Recorded,,Present,,Accepted,,
3261811,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS469942748,POINT (587219 5285151),148.06287,-42.58113,587219,5285151,-1,Darlington Bay,Debby Ng (29882),24-Feb-2017,Day,Not Recorded,,Present,,Accepted,,
3267292,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS373430478,POINT (587420 5285089),148.06532,-42.58166,587420,5285089,-1,Maria Island National Park--Darlington,S27510797 eBird - Traveling Count (42204),06-Feb-2016,Day,Not Recorded,,Present,,Accepted,,
3269287,B77-00031,Morus serrator,,,australasian gannet,dr359,,POINT (587760 5285208),148.06944,-42.58055,587760,5285208,100,"Darlington, Maria Island National Park",Unknown Unknown (23130),01-Jan-1900,Unknown,Not Recorded,,Present,,Accepted,,
3272774,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS481856724,POINT (588629 5285694),148.07996,-42.57608,588629,5285694,-1,Maria Island National Park--Fossil Cliffs Circuit,Heidi Krajewsky (33106),03-Apr-2017,Day,Not Recorded,,Present,,Accepted,,
3274508,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS277407157,POINT (588360 5278204),148.07785,-42.64355,588360,5278204,-1,Maria Island National Park,Ryan Steiner (41510),21-Oct-2014,Day,Not Recorded,,Present,,Accepted,,
3275696,B77-00031,Morus serrator,,,australasian gannet,dr2009,URN:CornellLabOfOrnithology:EBIRD:OBS276690755,POINT (588360 5278204),148.07785,-42.64355,588360,5278204,-1,Maria Island National Park,Ryan Steiner (41510),17-Oct-2014,Day,Not Recorded,,Present,,Accepted,,
3280650,B77-00031,Morus serrator,,,australasian gannet,dr7452,BT-68-7282,POINT (597126 5288477),148.183,-42.55,597126,5288477,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
