ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1931059,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (583497 5288654),148.017,-42.55,583497,5288654,2000,South east Australia,Unknown Unknown (23130),21-Jan-1989,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1935489,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (593020 5288533),148.133,-42.55,593020,5288533,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1935490,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (597126 5288477),148.183,-42.55,597126,5288477,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1939902,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (598311 5273655),148.2,-42.6833,598311,5273655,2000,South east Australia,Unknown Unknown (23130),13-Sep-1984,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1939905,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (583497 5288654),148.017,-42.55,583497,5288654,2000,South east Australia,Unknown Unknown (23130),21-Jan-1989,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1940203,B95-00171,Thalassarche cauta,,,shy albatross,dr2009,,POINT (588360 5278204),148.07785,-42.64355,588360,5278204,-1,Maria Island National Park,Ryan Steiner (41510),27-Sep-2014,Day,Not Recorded,,Present,,Accepted,,
1943932,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (597126 5288477),148.183,-42.55,597126,5288477,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1944203,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (595660 5277391),148.16701,-42.65,595660,5277391,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1948050,B95-00171,Thalassarche cauta,,,shy albatross,dr2009,,POINT (588360 5278204),148.07785,-42.64355,588360,5278204,-1,Maria Island National Park,Ryan Steiner (41510),28-Oct-2014,Day,Not Recorded,,Present,,Accepted,,
1952217,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (597126 5288477),148.183,-42.55,597126,5288477,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1952218,B95-00171,Thalassarche cauta,,,shy albatross,dr2009,,POINT (595262 5285008),148.16089,-42.58146,595262,5285008,-1,E. of Maria Island,S28157427 eBird - Traveling Count (42758),07-Mar-2016,Day,Not Recorded,,Present,,Accepted,,
1952219,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (595608 5273693),148.16701,-42.6833,595608,5273693,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1952511,B95-00171,Thalassarche cauta,,,shy albatross,dr2009,,POINT (588360 5278204),148.07785,-42.64355,588360,5278204,-1,Maria Island National Park,James Telford (38290),19-Feb-2015,Day,Not Recorded,,Present,,Accepted,,
1952516,2016-00237,Thalassarche cauta subsp. steadi,,,White-capped Albatross,dr7452,,POINT (595660 5277391),148.16701,-42.65,595660,5277391,2000,South east Australia,Unknown Unknown (23130),28-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
