ID,SPECIES_CODE,SPECIES_NAME,CURRENT_SPECIES_NAME,POPULATION,PREFERRED_COMMON_NAMES,PROJECT_CODE,OBSERVATION_FOREIGN_ID,GDA94_ZONE_55_EASTINGNORTHING,LONGITUDE,LATITUDE,EASTING,NORTHING,POSITION_ACCURACY,LOCATION_DESC,OBSERVER_NAMES,OBSERVATION_DATE,DATE_ACCURACY,OBSERVATION_TYPE,OBSERVATION_TYPE_QUALIFIER,OBSERVATION_STATE,OBSERVATION_STATE_QUALIFIER,RECORD_STATUS,NOTES,PRIMARY_IDENTIFIER
1913149,B95-00170,Thalassarche bulleri,,,bullers albatross,dr7452,,POINT (597100 5286622),148.183,-42.5667,597100,5286622,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
1926576,B95-00170,Thalassarche bulleri,,,bullers albatross,dr2009,,POINT (587499 5284710),148.06635,-42.58506,587499,5284710,-1,Maria Island,S27824605 eBird - Traveling Count (42413),22-Feb-2016,Day,Not Recorded,,Present,,Accepted,,
1962989,B95-00170,Thalassarche bulleri,,,bullers albatross,dr7452,,POINT (597126 5288477),148.183,-42.55,597126,5288477,2000,South east Australia,Unknown Unknown (23130),30-Mar-1985,Day,Not Recorded,,Present,,Accepted,"Data from Reid, T.A., Hindell, M.A., Eades, D.W. and Newman, M. 2002 Seabird Atlas of South-eastern Australian Waters, Birds Australia Monograph 4, Birds Australia, Melbourne",
